Gender,Degree,Specialization,CollegeState,collegeGPA,CollegeCityTier,GraduationYear,10percentage,12graduation,12percentage,CollegeTier,Salary
f,B.Tech/B.E.,instrumentation and control engineering,Delhi,73.82,1,2013,87.8,2009,84,1,445000
m,B.Tech/B.E.,computer science & engineering,Uttar Pradesh,65,0,2014,57,2010,64.5,2,110000
m,B.Tech/B.E.,electronics & telecommunications,Maharashtra,61.94,0,2011,77.33,2007,85.17,2,255000
m,B.Tech/B.E.,computer science & engineering,Delhi,80.4,1,2013,84.3,2009,86,1,420000
f,B.Tech/B.E.,biotechnology,Tamil Nadu,64.3,1,2012,82,2008,75,2,200000
f,M.Tech./M.E.,instrumentation and control engineering,Punjab,99.93,0,2013,83.16,2007,77,1,440000
f,B.Tech/B.E.,mechanical engineering,West Bengal,68,1,2013,72.5,2007,53.2,2,150000
f,B.Tech/B.E.,computer science & engineering,Telangana,71,1,2013,77,2009,88,2,105000
m,B.Tech/B.E.,information technology,Andhra Pradesh,73.15,0,2014,76.8,2010,87.7,2,195000
f,B.Tech/B.E.,computer science & engineering,Uttar Pradesh,70.08,0,2014,57,2009,73,2,200000
m,B.Tech/B.E.,electronics & telecommunications,Maharashtra,62,0,2013,77,2008,75,2,335000
m,B.Tech/B.E.,instrumentation and control engineering,Uttar Pradesh,67.67,0,2013,81.2,2008,79.9,2,300000
f,B.Tech/B.E.,information technology,Haryana,85,0,2013,85,2009,88,2,480000
f,B.Tech/B.E.,computer science & engineering,Telangana,85,0,2014,90,2009,82.1,2,550000
m,B.Tech/B.E.,electronics and communication engineering,West Bengal,81.4,1,2014,86.4,2009,86.2,2,325000
m,B.Tech/B.E.,information technology,Karnataka,75.2,0,2012,84.13,2008,77,2,405000
m,B.Tech/B.E.,computer engineering,Orissa,78.7,0,2011,81.7,2005,75.8,2,500000
f,B.Tech/B.E.,computer science & engineering,Uttar Pradesh,73.9,0,2014,86,2010,89,2,210000
m,B.Tech/B.E.,computer science & engineering,Maharashtra,66,0,2013,66.15,2009,54,2,400000
m,B.Tech/B.E.,computer science & engineering,Tamil Nadu,76,0,2013,79.29,2009,68.67,2,360000
m,B.Tech/B.E.,computer science & engineering,Orissa,69.94,0,2013,60,2006,50,2,240000
f,MCA,computer application,Haryana,80,0,2014,58.4,2008,64.8,2,120000
m,B.Tech/B.E.,information technology,Karnataka,63,1,2011,61,2003,59,2,430000
m,B.Tech/B.E.,electronics and communication engineering,Haryana,70,0,2011,50,2008,64,2,120000
f,B.Tech/B.E.,computer engineering,Maharashtra,55.5,1,2012,67.06,2008,70.67,2,120000
f,B.Tech/B.E.,computer science & engineering,Chhattisgarh,75,0,2012,67,2008,61,2,120000
m,B.Tech/B.E.,information technology,Rajasthan,61,1,2013,73,2009,71,2,600000
m,B.Tech/B.E.,computer engineering,Rajasthan,73.34,1,2010,86.17,2006,78.6,1,500000
m,B.Tech/B.E.,mechanical engineering,Uttar Pradesh,73,0,2014,78,2009,75,2,240000
m,B.Tech/B.E.,electronics and communication engineering,Punjab,76.5,0,2012,71.8,2007,68.2,2,200000
m,B.Tech/B.E.,information technology,Uttar Pradesh,64.29,0,2011,66.66,2005,80.4,2,80000
m,B.Tech/B.E.,computer science & engineering,West Bengal,76.7,1,2013,85,2009,81,2,330000
f,B.Tech/B.E.,information technology,Uttar Pradesh,71,0,2013,83.6,2008,74,2,450000
m,MCA,computer application,Punjab,77.5,0,2014,61.69,2008,60.66,1,240000
m,B.Tech/B.E.,electronics and communication engineering,Karnataka,81,1,2013,85,2009,82,2,325000
